question_id,section,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,difficulty,topic,subject,source_document,report_category,generated_date,generation_model,generation_type,test_id,test_name,test_series,total_questions,duration_minutes,negative_marking
GA_00001,General Awareness,"The Ministry of Corporate Affairs amended the Companies (Compromises, Arrangements and Amalgamations) Rules, 2016 in September 2025 to widen the scope of fast-track mergers. Which of the following classes of companies was explicitly excluded from the newly added provisions for holding and subsidiary company mergers?",Cases where the subsidiary is a listed company.,Cases where the transferor company is a listed company.,Cases where the holding company is unlisted.,Cases involving Section 8 companies.,Cases involving foreign holding companies.,B,The amendment on 4th September 2025 expanded fast-track mergers to include holding and subsidiary companies but explicitly excluded cases where the transferor company is a listed company.,Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.004437,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_02,RBI Grade B Phase 1 - Mock Test #02,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00002,General Awareness,"Based on the 2023-24 survey data on inward remittances by banks, which of the following groups of Advanced Economies (AEs) collectively surpassed a 50% share of India's total remittances, reflecting a shift from GCC countries?","United States, United Kingdom, and Canada","United States, United Arab Emirates, and Singapore","United States, United Kingdom, Singapore, Canada, and Australia","United Kingdom, Canada, Australia, and Germany","United States, Singapore, Australia, and New Zealand",C,"The article 'Changing Dynamics of India’s Remittances' notes that the US, UK, Singapore, Canada, and Australia together accounted for more than half of remittances in 2023-24. A calculation from Table 1 confirms this: US (27.7%) + UK (10.8%) + Singapore (6.6%) + Canada (3.8%) + Australia (2.3%) equals 51.2%. (Page 99)",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.004447,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_02,RBI Grade B Phase 1 - Mock Test #02,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00003,General Awareness,The RBI revised the definition of 'Bulk Deposits' for Regional Rural Banks (RRBs) in October 2023. What is the new threshold for a single Rupee term deposit to be classified as a 'Bulk Deposit' for RRBs?,₹15 lakh and above,₹50 lakh and above,₹1 crore and above,₹2 crore and above,₹5 crore and above,C,"On October 26, 2023, the Reserve Bank enhanced the bulk deposit limit for RRBs. 'Bulk Deposit' for RRBs would now mean single Rupee term deposits of ₹ one crore and above, revised from the earlier limit of '₹15 lakh and above'. (Page 146, para VI.33; Annex I, page 279)",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.004451,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_02,RBI Grade B Phase 1 - Mock Test #02,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00004,General Awareness,"What was the Female Labour Force Participation Rate (FLFPR) in India in 2023-24, primarily driven by the rising participation of rural women?",23.3 per cent,31.2 per cent,38.7 per cent,41.7 per cent,47.6 per cent,D,"The female labour force participation rate (FLFPR) has been rising for seven years, from 23.3 per cent in 2017-18 to 41.7 per cent in 2023-24. (Page 415, Para 12.16)",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.004455,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_02,RBI Grade B Phase 1 - Mock Test #02,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00005,General Awareness,"The National Green Hydrogen Mission, with an outlay of ₹19,744 crore, sets a specific production target. What is the targeted annual production of green hydrogen and by which year is it to be achieved?",5 MMT by 2028,10 MMT by 2030,5 MMT by 2030,7 MMT by 2032,15 MMT by 2035,C,"The National Green Hydrogen Mission, launched by the government, aims to achieve a green hydrogen production capacity of 5 Million Metric Tonnes (MMT) per annum by the year 2030.",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.004458,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_02,RBI Grade B Phase 1 - Mock Test #02,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00006,General Awareness,"What was the debt share of non-financial corporates with an Interest Coverage Ratio (ICR) of less than or equal to one in 2023-24, indicating their financial vulnerability?",18.0%,21.0%,27.9%,33.3%,35.5%,A,"Table 1.2 in the report shows that the debt share of firms with an Interest Coverage Ratio (ICR) of less than or equal to one, a key indicator of financial vulnerability, declined to 18.0 per cent in 2023-24 from 21.0 per cent in the previous year. (Page 40)",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.004460,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_02,RBI Grade B Phase 1 - Mock Test #02,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00007,General Awareness,What was India's Current Account Deficit (CAD) as a percentage of GDP in Q2 of FY25?,0.9 per cent,1.2 per cent,1.5 per cent,1.8 per cent,2.1 per cent,B,"India's current account deficit (CAD) moderated slightly to 1.2 per cent of GDP in Q2 of FY25, against 1.3 per cent of the GDP recorded in Q2 of FY24. (Page 149, Para 3.44)",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.004463,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_02,RBI Grade B Phase 1 - Mock Test #02,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00008,General Awareness,"What is the projected CPI inflation for the financial year 2024-25, with risks considered evenly balanced?",4.0%,4.5%,5.0%,5.4%,5.7%,B,"Taking into account factors like supply chain pressures, core inflation, and monsoon outlook, the CPI inflation for 2024-25 is projected at 4.5 per cent with risks evenly balanced. (Page 35, para I.40)",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.004466,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_02,RBI Grade B Phase 1 - Mock Test #02,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00009,General Awareness,Yearly net payroll additions to the EPFO more than doubled between FY19 and FY24. What were the approximate figures for net payroll additions in these two years?,From 50 lakh in FY19 to 110 lakh in FY24,From 61.1 lakh in FY19 to 131.5 lakh in FY24,From 78.6 lakh in FY19 to 150 lakh in FY24,From 65 lakh in FY19 to 140 lakh in FY24,From 55.5 lakh in FY19 to 125.5 lakh in FY24,B,"The yearly net payroll additions to the EPFO more than doubled from 61.1 lakh in FY19 to 131.5 lakh in FY24, showing a swift recovery from the pandemic. (page 282)",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.004469,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_02,RBI Grade B Phase 1 - Mock Test #02,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00010,General Awareness,"To enhance trust and combat digital fraud in the financial sector, the Reserve Bank of India announced the implementation of an exclusive internet domain for Indian banks. What is this new domain?",.rbi,.bank.gov,.bank.in,.fin.india,.indbank,C,"As a measure to enhance digital security, the Reserve Bank announced it shall implement the ‘bank.in’ exclusive Internet Domain for Indian banks to help avoid banking frauds like phishing. This will be followed by a 'fin.in' domain for the wider financial sector. (Page 11, 15)",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.004472,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_02,RBI Grade B Phase 1 - Mock Test #02,RBI Grade B 2025 - Premium Series,200,120,0.25
