question_id,section,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,difficulty,topic,subject,source_document,report_category,generated_date,generation_model,generation_type,test_id,test_name,test_series,total_questions,duration_minutes,negative_marking
GA_00663,General Awareness,"What was the policy repo rate maintained by the Monetary Policy Committee (MPC) in its meeting held from August 4-6, 2025?",5.25%,5.50%,5.75%,6.00%,6.50%,B,The Monetary Policy Committee (MPC) unanimously voted to keep the policy repo rate under the liquidity adjustment facility (LAF) unchanged at 5.50 per cent.,Easy,Policy_Changes,General_Awareness,RBI_Bulletin_Aug_2025.pdf,rbi_bulletin,2025-10-02T21:17:54.822299,gemini-2.5-pro,Per_PDF_RAG,RBI_PHASE1_MOCK_03,RBI Grade B Phase 1 - Mock Test #3,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00601,General Awareness,"In its October 2024 meeting, the Monetary Policy Committee (MPC) decided to change its policy stance. The stance was changed from what to what?",Accommodative to Neutral,Neutral to Withdrawal of Accommodation,Withdrawal of Accommodation to Neutral,Accommodative to Calibrated Tightening,Neutral to Accommodative,C,"In the October 2024 meeting, the MPC unanimously decided to change the policy stance from withdrawal of accommodation to neutral to provide it the flexibility to monitor the progress of ongoing disinflation. (Page 31, 114)",Medium,Monetary_Operations,General_Awareness,RBI_Annual_Report_2024_2025.pdf,rbi_annual_report,2025-10-02T21:05:51.128594,gemini-2.5-pro,Per_PDF_RAG,RBI_PHASE1_MOCK_03,RBI Grade B Phase 1 - Mock Test #3,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00246,General Awareness,The Gross Non-Performing Assets (GNPA) ratio of Scheduled Commercial Banks (SCBs) reached a 12-year low in March 2024. What was this ratio?,2.5%,2.8%,3.1%,3.5%,3.9%,B,"Data from the RBI's Financial Stability Report shows that the asset quality of SCBs improved, with the Gross Non-Performing Assets (GNPA) ratio declining to a 12-year low of 2.8 per cent in March 2024. (page 74, 93)",Easy,Sectoral_Performance,General_Awareness,Economic_Survey_2024_2023.pdf,economic_survey,2025-10-02T22:17:50.433617,gemini-2.5-pro,Per_PDF_RAG,RBI_PHASE1_MOCK_03,RBI Grade B Phase 1 - Mock Test #3,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00799,General Awareness,A new Section 44BBD introduces a special provision for computing profits for non-residents providing services or technology for setting up electronics manufacturing in India. What percentage of the aggregate amounts received or paid is deemed to be profits and gains of such business?,10%,15%,20%,25%,30%,D,"The new Section 44BBD(1) states that a sum equal to twenty-five per cent of the aggregate of specified amounts shall be deemed to be the profits and gains of the business of the non-resident assessee, chargeable to tax under 'Profits and gains of business or profession'. (Page 39, 145)",Hard,Fiscal_Policy,General_Awareness,Union_Budget_2025_2026.pdf,union_budget,2025-10-02T21:32:29.737320,gemini-2.5-pro,Per_PDF_RAG,RBI_PHASE1_MOCK_03,RBI Grade B Phase 1 - Mock Test #3,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00398,General Awareness,By what majority did the Monetary Policy Committee (MPC) decide to keep the policy repo rate unchanged in its June 2024 meeting?,Unanimously,5-1,4-2,3-3 with Governor's casting vote,6-0,C,"In the June 2024 meeting, the MPC decided by a majority of 4-2 to keep the policy rate unchanged at 6.5 per cent and to continue with the stance of withdrawal of accommodation. (Page 12)",Medium,Monetary_Policy,General_Awareness,Monetary_Policy_Report_Oct_2024.pdf,monetary_policy_report,2025-10-02T22:37:11.390722,gemini-2.5-pro,Per_PDF_RAG,RBI_PHASE1_MOCK_03,RBI Grade B Phase 1 - Mock Test #3,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00630,General Awareness,"Which recent RBI initiative in the FinTech space aims to create an end-to-end digital platform that enables a seamless, consent-based flow of information from multiple data service providers to lenders, with a particular focus on improving credit access for agricultural and MSME borrowers?",The framework for Self-Regulatory Organisations for FinTech (SRO-FT),The pilot project for programmable Central Bank Digital Currency (CBDC),The Unified Lending Interface (ULI),The Regulatory Sandbox cohort on MSME lending,The Account Aggregator (AA) framework,C,"The Unified Lending Interface (ULI), previously known as the Public Tech Platform for Frictionless Credit (PTPFC), is designed to facilitate a seamless, consent-based flow of digital information from various data providers to lenders. This is expected to significantly reduce credit appraisal times, particularly for agricultural and MSME borrowers. (Pages 16, 22, 29)",Hard,Policy_Changes,General_Awareness,RBI_Bulletin_Sep_2024.pdf,rbi_bulletin,2025-10-02T21:08:58.336862,gemini-2.5-pro,Per_PDF_RAG,RBI_PHASE1_MOCK_03,RBI Grade B Phase 1 - Mock Test #3,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00696,General Awareness,"Capacity utilisation (CU) in the manufacturing sector rose to what percentage in Q3:2023-24, remaining above its long-term average?",73.5%,74.0%,74.6%,74.7%,75.1%,D,Capacity utilisation (CU) in the manufacturing sector rose to 74.7 per cent in Q3:2023-24 from 74.0 per cent recorded in the previous quarter. (Page 50),Medium,Growth_Outlook,General_Awareness,Monetary_Policy_Report_Apr_2024.pdf,monetary_policy_report,2025-10-02T21:22:01.859890,gemini-2.5-pro,Per_PDF_RAG,RBI_PHASE1_MOCK_03,RBI Grade B Phase 1 - Mock Test #3,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00178,General Awareness,"As per the monthly accounts published in September 2025, the Total Expenditure incurred by the Government of India up to August 2025 was what percentage of the corresponding Budget Estimate (BE) 2025-26?",31.3%,36.7%,37.1%,26.9%,30.9%,C,"The monthly accounts for August 2025 showed that the Total Expenditure incurred by the Government was ₹18,80,862 crore, which is 37.1% of the corresponding Budget Estimate for 2025-26.",Medium,Government_Finances,General_Awareness,pib_press_releases.txt,,2025-10-04T02:31:48.980583,gemini-2.5-pro,PIB_RAG_Batch_3,RBI_PHASE1_MOCK_03,RBI Grade B Phase 1 - Mock Test #3,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00433,General Awareness,"Among the quarterly projections for real GDP growth in 2025-26, which quarter is expected to witness the highest growth rate?",Q1:2025-26,Q2:2025-26,Q3:2025-26,Q4:2025-26,All quarters are projected to have the same growth rate,B,"The quarterly real GDP growth projections for 2025-26 are: 6.5% in Q1, 6.7% in Q2, 6.6% in Q3, and 6.3% in Q4. Therefore, Q2 is projected to have the highest growth. (Page 20)",Hard,Growth_Outlook,General_Awareness,Monetary_Policy_Report_Apr_2025.pdf,monetary_policy_report,2025-10-02T22:39:47.450092,gemini-2.5-pro,Per_PDF_RAG,RBI_PHASE1_MOCK_03,RBI Grade B Phase 1 - Mock Test #3,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00234,General Awareness,"In September 2025, the Government of India and the Asian Development Bank (ADB) signed a $125 million loan to enhance urban livability in Assam. The project is specifically focused on which key infrastructure developments?",Construction of rural roads and bridges in all districts,Development of metro rail systems in district headquarters,Building new airports and railway stations,Delivering continuous metered water supply and upgrading stormwater management systems,Setting up solar power plants and renewable energy grids,D,The press release clearly states that the project will benefit residents by 'delivering continuous metered water supply and upgrading stormwater management systems' in six district headquarters and Guwahati.,Medium,Economic_Initiatives,General_Awareness,pib_press_releases.txt,,2025-10-04T02:35:37.979431,gemini-2.5-pro,PIB_RAG_Batch_6,RBI_PHASE1_MOCK_03,RBI Grade B Phase 1 - Mock Test #3,RBI Grade B 2025 - Premium Series,200,120,0.25
