question_id,reasoning_topic,topic,main_category
REASONING_00008,Statement & Inference,Statement & Inference,Analytical & Critical Reasoning
REASONING_00014,Floor Based Puzzle,Floor Puzzle,Puzzles & Seating Arrangements
REASONING_00015,Floor Based Puzzle,Floor Puzzle,Puzzles & Seating Arrangements
REASONING_00016,Floor Based Puzzle,Floor Puzzle,Puzzles & Seating Arrangements
REASONING_00017,Floor Based Puzzle,Floor Puzzle,Puzzles & Seating Arrangements
REASONING_00018,Floor Based Puzzle,Floor Puzzle,Puzzles & Seating Arrangements
REASONING_00019,Statement & Course of Action,Statement & Course of Action,Analytical & Critical Reasoning
REASONING_00020,Inequalities,Inequalities,Verbal & Logical Reasoning
REASONING_00025,Linear Seating Arrangement,Linear Seating,Puzzles & Seating Arrangements
REASONING_00026,Linear Seating Arrangement,Linear Seating,Puzzles & Seating Arrangements
REASONING_00027,Linear Seating Arrangement,Linear Seating,Puzzles & Seating Arrangements
REASONING_00028,Linear Seating Arrangement,Linear Seating,Puzzles & Seating Arrangements
REASONING_00029,Linear Seating Arrangement,Linear Seating,Puzzles & Seating Arrangements
REASONING_00030,Linear Seating Arrangement,Linear Seating,Puzzles & Seating Arrangements
REASONING_00031,Statement & Inference,Statement & Inference,Analytical & Critical Reasoning
REASONING_00033,Scheduling Puzzle,Day/Month Puzzle,Puzzles & Seating Arrangements
REASONING_00034,Scheduling Puzzle,Day/Month Puzzle,Puzzles & Seating Arrangements
REASONING_00035,Scheduling Puzzle,Day/Month Puzzle,Puzzles & Seating Arrangements
REASONING_00036,Scheduling Puzzle,Day/Month Puzzle,Puzzles & Seating Arrangements
REASONING_00037,Scheduling Puzzle,Day/Month Puzzle,Puzzles & Seating Arrangements
REASONING_00038,Scheduling Puzzle,Day/Month Puzzle,Puzzles & Seating Arrangements
REASONING_00043,Strengthening/Weakening Arguments,Strengthen/Weaken,Analytical & Critical Reasoning
REASONING_00044,Statement & Course of Action,Statement & Course of Action,Analytical & Critical Reasoning
